GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-954296662,SushiGo,3,GAME_OVER,85,0,3,201,Basic MCTS,57.0,40.0,38.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,2,2,3,GroupAA MCTS Agent,3,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
-255868503,SushiGo,3,GAME_OVER,82,0,3,202,randomPlayer,32.0,41.0,56.0,Basic MCTS,GroupAA MCTS Agent,3,randomPlayer,3,2,2,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-116635895,SushiGo,3,GAME_OVER,83,0,3,203,GroupAA MCTS Agent,31.0,52.0,32.0,Basic MCTS,randomPlayer,3,GroupAA MCTS Agent,3,1,1,2,Basic MCTS,2,randomPlayer,Basic MCTS,GroupAA MCTS Agent,randomPlayer,0
-1898534082,SushiGo,3,GAME_OVER,82,0,3,204,randomPlayer,64.0,32.0,39.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
658393718,SushiGo,3,GAME_OVER,85,0,3,205,GroupAA MCTS Agent,27.0,46.0,34.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
2097534744,SushiGo,3,GAME_OVER,82,0,3,206,randomPlayer,34.0,36.0,57.0,Basic MCTS,GroupAA MCTS Agent,3,randomPlayer,3,2,2,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-1891851982,SushiGo,3,GAME_OVER,81,0,3,207,Basic MCTS,34.0,36.0,51.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-331426663,SushiGo,3,GAME_OVER,86,0,3,208,randomPlayer,30.0,37.0,71.0,Basic MCTS,GroupAA MCTS Agent,3,randomPlayer,3,2,2,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
1919103941,SushiGo,3,GAME_OVER,83,0,3,209,GroupAA MCTS Agent,28.0,62.0,34.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-232742384,SushiGo,3,GAME_OVER,84,0,3,210,GroupAA MCTS Agent,36.0,45.0,41.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
